Function,Count
Accounting/Auditing,41
Administrative,15
Advertising,92
Analyst,422
Art/Creative,5
Business Development,147
Consulting,200
Customer Service,56
Design,23
Distribution,3
Education,7
Engineering,313
Finance,205
General Business,33
Health Care Provider,18
Human Resources,32
Information Technology,816
Legal,14
Management,163
Manufacturing,10
Marketing,367
Other,207
Product Management,116
Production,3
Project Management,98
Public Relations,12
Purchasing,11
Quality Assurance,20
Research,354
Sales,287
Science,44
Strategy/Planning,116
Supply Chain,15
Training,4
Writing/Editing,8
